Ground Truth,Google OCR,ED Google OCR,MP,ED MP,LM Low,ED LM Low,LM Medium,ED LM Medium,LM High,ED LM High
"def main():
    string = str(input('Enter string: '))
    for i in range((len(string)-1),-1,-1):
        print(string[i])","def main ():
string = str (input ('Enter string: '))
for i in range
print (string[i])
((len(string)-1),-1,-1):
لك
TO
AYS",54,"def \( \operatorname{main}( \) ):
\[
\text { string }=\operatorname{str}(\text { input ('Enter string: IJ) }
\]
for \( i \) in range \( (( \) len(string \( )-1),-1,-1) \) : print (string \( [i] \) )",98,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string)-1,-1,-1):
        print(string[i])

",5,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string)-1, -1, -1):
        print(string[i])

",7,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string)-1,-1,-1) :
        print(string[i])

if __name__ == '__main__':
    main()
",44
"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []


# It check every element in list(sequence) --
for i in seq:
    # It decides whether an element from sequence is even ---
    if i % 2 == 0:
       seq_even.append(i) #appends even i in empty list(seq_even)

print(seq_even)","seq - [1, 2, 3, 4, 5, 6, 7, 8, 9]
seg - even = []
#It checks every element in dist (sequence)--
for i in seq:
#it decides whether an element from sequence is even ---
if i % 2 == 0:
seq-even. append(i) #appends even i in empty list (seq-even)
print (seq-even)",36,"\[
\begin{array}{l}
\text { seq }=[1,2,3,4,5,6,7,8,9] \\
\text { seq-even }=[]
\end{array}
\]
\# It checks every element in dist(sequence.).for \( i \) in seq:
\# it decides whether an clement from sequence is even -.. if \( i \% 2==0 \) :
seq-even. append ( \( i \) ) \# appends even \( i \) in empty list (seq-even) print (seq-even)",127,"
seq = [1,2,3,4,5,6,7,8,9]
seq_even = []
for i in seq:
    if i % 2 == 0:
        seq_even.append(i)
print(seq_even)

",161,"
seq = [1,2,3,4,5,6,7,8,9]
seq_even = []
for i in seq:
	if (i % 2 == 0):
		seq_even.append(i) 
print(seq_even)
",172,"
seq = [1,2,3,4,5,6,7,8,9] 
seq_even = []

# It checks every element in seq
for i in seq:
	# it decides whether an element from sequence is even
	if i % 2 == 0:
		seq_even.append(i) # appends even i in empty list seq_even
    
print(seq_even)
",54
"from graphics import Canvas

CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main:
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    

    while TRUE

        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        
        if mouse_x >= 0 and mouse_x <= CANVAS_WIDTH and mouse_y >=0 and mouse_y <= CANVAS_HEIGHT","from
FROM GRAPHICS IMPORT CANVAS
CANVAS_WIDTH = 300
CANVAS-HEIGHT = 300
CIRCLE_SIZE =
DELAY = 0,01
= 20
DEF MAIN:
CANVAS = CANVAS ( CANVAS WIDTH, CANVAS HEIGHT
WHILE TRUE
MOVSE_X = CANVAS. GET_MOUSE_x()
MOUSE-Y = CANVAS. GET MOUSE_Y()
TE
1
IF MOUSE X >= 0 AND MOUSE X E CANVAS_WIDTH
AND MOUSELY TO AND MOUSE_YE CANVAS. HEIGH",203,"FRIM GRAPHICS I MPORT CANVAS
\[
\begin{array}{l}
\text { CANVAS_WIDTH }=300 \\
\text { CANVAS_HEl6HT }=300 \\
\text { CIRCLE_SIZE }=20 \\
\text { DELAY = } 0,01
\end{array}
\]
DEF MAIN :
canvas = Canvas ( canvar_ wi DFH, canvas Hec b HT)
WHILE TRUE
\[
\begin{array}{l}
\text { MOVSE-X = CONVAS. GET_MOUSE_X() } \\
\text { MOVSE-Y = CANVAS. GET MOUSE_Y () }
\end{array}
\]
If MOUSE_X \( X=0 \) AND MOUSE_X \( E \) CANUNS_WIOT4 AND NOUSE_Y \( T=0 \) AND MOUSE_YE CH, USS. HEIG",321,"
from graphics import Canvas

CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main():
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    while True:
        MOUSE_X = canvas.GET_MOUSE_X()
        MOUSE_Y = canvas.GET_MOUSE_Y()
        if MOUSE_X >= 0 and MOUSE_X <= CANVAS_WIDTH and MOUSE_Y >= 0 and MOUSE_Y <= CANVAS_HEIGHT:
            return
",98,"
from graphics import Canvas

CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main():
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    while True:
        MOUSE_X = canvas.get_mouse_x()
        MOUSE_Y = canvas.get_mouse_y()
        if MOUSE_X >= 0 and MOUSE_X <= CANVAS_WIDTH and MOUSE_Y >= 0 and MOUSE_Y <= CANVAS_HEIGHT:
            continue

",83,"
from graphics import Canvas

CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main():
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    while True:
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if 0 <= mouse_x <= CANVAS_WIDTH and 0 <= mouse_y <= CANVAS_HEIGHT:
            pass
",68
"from karel.stanfordkarel import*

# This program defines a main function which should make Karel
# move to the beeper, pick it up and return home.
def main():   
       get_out()
       pick_food()
       get_back_home()
    
# pre : karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper
def get_out():
       turn_right()
       move()
       turn_left()
       move()
       move()
       move()
    
# post: karel facing west, at the position of beeper 
def pick_food():
       pick_beeper()
       turn_around()
    
# post: karel facing east, at the corner of starting position
def get_back_home():
       move()
       move()
       move()
       turn_right()
       move()
       turn_right()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
       turn_left()
       turn_left()

if __name__ == '__main__':
    main()","#1 Karel Problem - Karel home
from Kard Stanfordkarel import *
# This program defines a main function which should make karel
# move to the beeper, pick it and return home.
up
def main ():
GRE_ONE ()
pick-food ()
get back home u
#pre: Karel facing eask, at the corner of starting position.
# posk: Karel facing east, outside the home, at the position of beeper
def get out ():
turn_right()
Move (
turn_left()
Move ()
Move ()
move()
# post
· Karel facing west, at
def pick-food ():
pick beeper ()
turn around ()
#post: Karel facing east, at the corner of starting position
def get back home ():
move ()
Move ()
move()
turn_right()
move ()
turn right (1
def turn right ():
for i in range (3)
turn_left()
def turn around ():
turn_left()
zurn_left()
the position of beeper
if_name__ == '__main_ ' :
main ()",285,"\#1 karel Problem-karel home from karel. Stanfordkarel impork *
\# This program defines a main function which should make karel \# move to the beeper, pick it up and return home
def \( \operatorname{main}() \) :
get_oute \( ( \) )
pick-food ()
get_back_home \( U \)
\# pre: Karel facing eask, at the corner of stomeng position
\# posk: Karel facing east, oukside the home, at the position of beeper
def get_out () :
turn_right ()
move?
turn_left ()
move ()
move ()
move ()
\# post : Karel facing west, at the position of beeper
def pick-food () :
pick_beeper ()
turn_around ()
\# post: karel fring east, at the corner of stonting position def get_back_home ():
move ()
move ()
move ()
turn_right ()
move ()
turn right ( )
def turn right () :
for \( i \) in range (3) :
turn_left ()
def turn around ():
turn_left ()
turn_kft()
if _ name_ \( == \) - main - '
main ()",274,"
# karel Problem-karel home
from karel.stanfordkarel import *
# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()
# pre: Karel facing east, at the corner of starting position
# post: Karel facing east, outside the home, at the position of beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()
# post: Karel facing west, at the position of beeper
def pick_food():
    pick_beeper()
    turn_around()
# post: karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()
def turn_right():
    for i in range(3):
        turn_left()
def turn_around():
    turn_left()
    turn_left()
if __name__ == '__main__':
    main()
",88,"
# karel Problem-karel home
from karel.stanfordkarel import *
# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()
# pre: Karel facing east, at the corner of starting position
# post: Karel facing east, outside the home, at the position of the beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()
# post : Karel facing west, at the position of the beeper
def pick_food():
    pick_beeper()
    turn_around()
# post: Karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()
def turn_right():
    for i in range(3):
        turn_left()
def turn_around():
    turn_left()
    turn_left()
if __name__ == '__main__':
    main()
",98,"
from karel.stanfordkarel import *

# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()

# pre: Karel facing east, at the corner of starting position
# post: Karel facing east, outside the home, at the position of beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()

# post : Karel facing west, at the position of beeper
def pick_food():
    pick_beeper()
    turn_around()

# post: karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    turn_left()
    turn_left()

if __name__ == '__main__':
    main()
",83
"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)
print(factorial(5))","def factorial (n):
if n == 0:
return 1
else:
return n* factorial (n-1)
print (factorial (5))",29,"def factorial \( (n) \) :
if \( n==0 \) :
return 1
else:
return \( n \) * factorial \( (n-1) \)
print (factorial \( (5)) \)",54,"
def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)

print(factorial(5))
",5,"
def factorial(n):
    if n==0:
        return 1
    else:
        return n * factorial(n-1)

print(factorial(5))
",5,"
def factorial(n):
    if n==0:
        return 1
    else:
        return n * factorial(n-1)

print(factorial(5))
",5
"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    list=[]
    
    for elem1 in list1:
        for elem2 in list2:
            if elem1==elem2:
                elem=elem1
                list.append(elem)
    print(list)","det main 1:
List 1 2 (1,2,3,4]
List 2 = (3,4,5,67
List = []
for elem 1 in list 1 1
for elem2 în list 2:
it olem2 = = elem 2:
elem = elem 2
(N46)
print (list)
list-append (etem)
Livor",124,"det \( \operatorname{man}(1) \) :
\[
\begin{array}{l}
\text { list } 1=[1,2,3,4] \\
\text { list } 2=[3,4,5,6] \\
\text { List }=[7] \text { in list } 11 \\
\text { for elem } 1
\end{array}
\]
for elem2 in list2:
it \( \operatorname{elem} 2= \) elem2:
elem = elem 2
list-append (eum)
print (ist)",195,"
list1=[1,2,3,4]
list2=[3,4,5,6]
List=[]
for elem in list1:
	for elem2 in list2:
		if elem == elem2:
			elem = elem2
			List.append(elem)
print(List)

result
",116,"
def main(i):
    list1 = [1,2,3,4]
    list2 = [3,4,5,6]
    List = [7] 
    for elem in list1:
        for elem2 in list2:
            if elem == elem2:
                elem = elem2
                List.append(elem)
    print(List)

main(1)
",34,"
def man():
    list1 = [1,2,3,4]
    list2 = [3,4,5,6]
    list3 = []
    for elem in list1:
        if elem in list2:
           list3.append(elem)
    print(list3)
    return list3
man()
",91
"String = input()
print(String[::-1])","String = input ()
print (String[::-1])",2,\( \begin{array}{l}\text { String }=\text { input } C) \\ \text { print }(\text { String }[::-1])\end{array} \),77,"
String = input()
print(String[::-1])
",2,"
String = input()  
print(String[::-1])
",4,"
String = input()
print(String[::-1])
",2
"from karel.stanfordkarel import *

def main():
    turn_left()
    tower_N()
    tower_S()
    move_4x()
    turn_left()
    tower_N()
    tower_S()
    
def tower_S():
    turn_3x()
    tower()
    turn_left()
        
def tower_N():
    tower()
    turn_3x()
    move_4x()
        
   
def tower():
    for i in range (5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()
            

def turn_3x():
    turn_left()
    turn_left()
    turn_left()
    

def move_4x():
    move()
    move()
    move()
    move()

if __name__ == '__main__':
    main()","from Karel. Stanford Rund emport
def main ():
turn-
laft
Tower_N()
tower_S()
Move 4x()
Fern-
-left()
tower_N()
-S()
tower
del
de tower -S():
Furn-3x()
tower ()
turn_left()
del tower _N():
Town ()
turn _ 3x()
move 4x()
def tower (13
for i in
range
(5):
if front_is_clear():
Put-baper (1
movel)
else:
def. Jurn - 3×(1:
turn_left()
leftis
turn-
Turn_left()
()
pest-beeper ()
- Move_4x();
move()
move()
movell
move()
name --
__main__."":
main ()
K",302,"from Karel. Stanfordkad import *
def max \( (1): \)
\[
\begin{array}{l}
\text { furn - let (1) } \\
\text { fown-N() } \\
\text { tower-S() } \\
\text { move-4x () } \\
\text { furm-lyt ( ) } \\
\text { tower-N( ) } \\
\text { tower-S() } \\
\end{array}
\]
def tower-s() :
\[
\begin{array}{l}
\text { furn - } 3 \times() \\
\text { Tower (1) } \\
\text { turn - laff() }
\end{array}
\]
def tower - N ( ):
town ()
\( \operatorname{tin} \) - \( 3 \times() \)
move_ \( 4 \times() \)
def tower (1):
for \( i \) in rang \( (5) \) :
if front-is-clear () :
move ()
else:
put_buper ()
def. fum \( -3 \times(1) \) :
\[
\begin{array}{l}
\text { turn - blff (1) } \\
\text { turn - bff (1) } \\
\text { turn - beft (1) }
\end{array}
\]
def mere_4r(1):
morel)
\[
\begin{array}{c}
\text { if name - }==^{\prime} \text {. main ... } \\
\text { main () }
\end{array}
\]
main 1)",561,"
from Karel.Stanfordkad import *
def max():
    turn_left()
    move()
    move()
    turn_right()
    move()
    turn_left()
    turn_left()
def tower_s():
    for _ in range(3):
        Tower(1)
    turn_left()
def tower_N():
    turn()
    for _ in range(3):
        move()
    move_4x()
def Tower(1):
    for i in range(5):
        if front_is_clear():
            move()
        else:
            put_bumper()
def turn_3_times(1):
    turn_left()
    turn_left()
    turn_left()
def move_4x(1):
    move()
if __name__ == '__main__':
    main()
",208,"
from Karel.Stanfordkarel import *

def max(num):
	text_furn_let(1)
	text_fown_N()
	text_tower_S()
	move_4x()
	text_furm_lyt()
	text_tower_N()
	text_tower_S()

def tower_S() :
	text_furn_3_times()
	text_Tower (1)
	text_turn_laff()

def tower_N():
	town()
	tin_3_times()
	move_4_times()

def tower(num):
	for i in range(5):
		if front_is_clear():
			move()
		else:
			put_bumper()

def fum(num):
	text_turn_bff(1)
	text_turn_bff(1)
	text_turn_beft(1)

def move_4(num):
	move()

if __name__ == '__main__':
	main(1)
",304,"
from karel.stanfordkarel import *

def max():
    turn_left()
    move()
    tower_S()
    move_4x()
    tower_N()
    tower_S()

def tower_S():
    for _ in range(3):
        tower()
    turn_left()

def tower_N():
    tower()
    for _ in range(3):
        turn()
    move_4x()

def tower():
    for i in range(5):
        if front_is_clear():
            move()
        else:
            put_biper()

def turn_left():
    for _ in range(3):
        turn_right()

def move_4x():
    for _ in range(4):
        move()

if __name__ == ""__main__"":
    main()
",189
"def main():
    string = str(input('Enter string: '))
    for i in range((len(string)-1),-1,-1):
        print(string[i])

if __name__ == '__main__':
    main()","def main ():
string = str (input ( 'Enter string :'))
for i in range ((len (string)-1),-1,-1):
print (string[i])
if __name__ == '___main__':
main()",31,"det main ():
string \( = \) str (input ( Enter string: '))
for \( i \) in range ((len (string) -1\( ),-1,-1) \) : print (string \( [i] \) )
if name_ \( == \) '_-_main_-1:
\( \operatorname{main}() \)",77,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string) - 1, -1, -1):
        print(string[i])
if __name__ == '__main__':
    main()
",9,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string) -1, -1,-1):
        print(string[i])
if __name__ == '__main__':
    main()
",7,"
def main():
    string = str(input('Enter string: '))
    for i in range(len(string) - 1, -1, -1):
        print(string[i])

if __name__ == '__main__':
    main()
",8
"def main():

    num = int(input(""Enter a number: ""))        
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'}"")

def is_prime(n):
        if n <= 1:
            return False
        elif n <= 3:
            return True
        elif n % 2 == 0 or n % 3 == 0:
            return False
        for i in range(5, int(n ** 0.5) + 1, 6):
            if n % i == 0 or n % (i + 2) == 0:
                return False
        return True
    

if __name__ == ""__main__"":
    main()","if
def main():
nur - int (input (""Enter a umby: ""))
print (f"" { num } is { ""prime if is_preme (nom)
else 'not prime' 3"")
Lef is__ pame(n):
<=
return false
elif n <= 3.
Feton True
elf 0 ² 2 = = 6
0² / 3 = = 0;
retow False
for i iN, Range (5, int(n"" 0.5) +1,6)
if 1% 1 = = 0¹ 0² 0% (i + 2) = = 6:
retor False
netum Thve
пале
maiN ()
--
main",240,"\( \operatorname{deg} \operatorname{main}(): \)
num =int( (iuput(""Entu a NMkn: "")) prutt(f""\{num\} is \{'prime' if is prome(num) else not prime 3 "")
def is prme \( (n) \) :
if \( n<=1 \)
reture alse
\( \operatorname{elif} \cap<=3 \) :
seton True
elf \( n \% 2==\varnothing \) or \( \cap \% 3==\varnothing \) :
re tow Jalse
for i in Ravge \( \left(5\right. \) int \( \left.\left(n^{* *} 0,5\right)+1,6\right) \) if \( n \% i==\varnothing \) or \( n \%(i+2)==\varnothing \) : retur false
nefom thoe",346,"
def main():
    num =int(input(""Enter a Number: ""))
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'} "")

def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5)+1, 6):
        if n % i == 0 or n % (i+2) == 0:
            return False
    return True
",102,"
def main():
    num = int(input(""Enter a Number: ""))
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'}"")

def is_prime(n):
    if n<=1:
        return False
    elif n<=3:
        return True
    elif (n % 2==0) or (n % 3==0):
        return False
    for i in range(5, int(n**0.5)+1, 6):
        if (n % i==0) or ( n %(i+2)==0):
            return False
    return True
",122,"
def main():
    num = int(input(""Enter a number: ""))
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'}"")

def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5) + 1, 6):
        if n % i == 0 or n % (i + 2) == 0:
            return False
    return True
",95
"from karel.stanfordkarel import *
def main():  
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
    turn_right()
    fill_row()
    return_to_home()
    while front_is_clear():
        move()
def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
def jump_row():
    turn_left()
    move()
def turn_right():
    for i in range(3):
        turn_left()
def return_to_home():
    turn_around()
    while front_is_clear():
        move()
    turn_around()
def turn_around():
    for i in range(2):
        turn_left()
   
if __name__ == '__main__':
    main()","from Karel. Stamfordkarel import
def main ():
turn-left():
while frent_is_ alpar (fi
tunn-right()
fill-row ()
return _to_home ll
Jump_row()
turn_right()
fill-row ()
vetwook to home ()
while frent-is. Elear();
meve (s
Sef fill_row();
while frent_is_ clearl]
put - beeper ()
move ()
put-beeper ()",449,"fremkarel. stamfordkared impert*
def \( \operatorname{main}() \) :
turn-left ():
while frent - is _ clpar ():
tumn-right 1)
fill-row()
retwn-te-home()
junprow()
turn - right ()
fillarow ()
ve turnkte - home ()
while front-is. Elear ( \( ) \) :
meve()
def fill-rew():
while front - is - clearl)
put - beeper ()
move ()
put-beeper ()",476,"
from karel.stanford.karel import *

def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
    turn_right()
    fill_row()
    return_to_home()
    while front_is_clear():
        move()
def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
",313,"
from karel.stanfordkarel import *

def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
    turn_right()
    fill_row()
    return_to_home()
    while front_is_clear():
        move()

def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
",313,"
from karel.stanfordkarel import *

def main():
	turn_left()
	while front_is_clear():
		turn_right()
		fill_row()
		return_to_home()
		jump_to_next_row()
	turn_right()
	fill_row()
	return_to_home()
	while front_is_clear():
		move()
        
def fill_row():
	while front_is_clear():
		put_beeper()
		move()
	put_beeper()
",413
"from stanfordkarel import *
""""""
Karel should fill the whole world with beepers.
""""""
def main():
    """"""
    You should write your code to make Karel do its task in
    this function. Make sure to delete the 'pass' line before
    starting to write your own code. You should also delete this
    comment and replace it with a better, more descriptive one.
    """"""
    while not left_is_blocked():
        put_beeper_Line()
        reset_Position()
    put_beeper_Line()


def put_beeper_Line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()","from stanfordKarel import *
11 11 11
Kard should
beepers.
|| || ||
def
main ():
11 [1 (1
You should write
Karel do its
comment
better
fill
11 [11
/
the whole world with
Make
виче
before starting to
code. You should also
to
task in this
function.
delete the pass line
write your
owen
delete this
with
and replace it
more descriptive one.
move ()
put_ beeper ()
your
put_ beeper _line ()
our code to malce
While not left_it_ blocked ():
put - beeper_Line()
resit_ Position ()
dif put_beeper_Line():
put_beeper ()
front_is_clear
while
():",375,"Grom stanfordkarel import *
111111
Karel should fill the whole world with bepers.
111111
def \( \operatorname{main}() \) :
""11 11
You should write your code to male karel do its task in this function. Make sure to delete the 'pass'1 line bfore slarting to rurite your owen code. You should also delete thir comment and replace it with a better, more descriptive one. 111111

While not left_ir_blockd ():
put_beper_Lin ()
resit_position ()
put_buper_line C)
dy put_buper-Line \( ( \) ):
put_beper ()
while front_is-clear C):
move ()
put_beper ()",154,"
    # result
    # ",556,"
from stanfordkarel import *

# Karel should fill the whole world with beepers.

def main():
    """"""
    You should write your code to make Karel do its task in this function.
    Make sure to delete the 'pass' line before starting to write your own code. 
    You should also delete this comment and replace it with a better, more descriptive one.
    """"""
    while not left_is_blocked():
        put_beeper_line()
        reset_position()
    put_beeper_line()


def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",34,"
from stanfordkarel import *

def main():
    """"""
    This function guides Karel to fill the whole world with beepers.
    """"""
    while not left_is_blocked():
        put_beeper_line()
        reset_position()
    put_beeper_line()

def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",260
"#karel needs to move to the bottom of the next arch to commence 
#building the next column.
#precondition: karel is facing east
#post condition: karel is still facing east at the next column site.
        
def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()
    
                
def turn_around():
    turn_left()
    turn_left()
        

if __name__ == '__main__':
    main()","#Karel needs to move to the bottom of the next arch to comm
#ence building the next column.
# Precondition: Karel is facing east
#post_condition : Karel is facing east at the next column site.
def move_to_ next_arch_botton ():
if front is clear ():
for i in range (4):
move ()
def turn around () =
turn_left()
turn_left (D
if name
Main ()
main",124,"Hikarel needs to move to the bottom of the next arech to comm. Hence building the next column.
\# Precondition: karel is facing east
\#post-condition: kavel is facing east at the next column site. def move_to_next_arch_botton():
if frontis-clear () :
for \( i \) in range (4):
move ()
def turnarounl () :",164,"
# Precondition: karel is facing east
# post-condition: karel is facing east at the next column site.
def move_to_next_arch_bottom():
	if front_is_clear():
		for i in range(4):
			move()
def turnaround():
",234,"
def move_to_next_arch_bottom():
    if front_is_clear(): 
        for i in range(4): 
            move()
            
def turnaround():
    pass
",290,"
# Karel needs to move to the bottom of the next arch to continue building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()
def turnaround():
    pass
",126
"def find_lrgst_smallst(number):
    if not numbers:
        return none
    smallest = largest = number[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest
    
# Example Usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_lrgst_smallst(numbers)
print(result)","HEART
def- find Ligst_smallet (number);
if not numbers:
return none
-Smallest= largest = number [0]
for num in numbers:
if num < smallest:
= num
пит
smallest
if nam > Largest :
Largest.
fieturin smallest, Largest
= num
#Example usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
Tresult
find_ligst __ smallst (numbens)
print (result)
উদ্ভাস-উন্মেষ শিক্ষা পরিবার",143,"def find_rigst_smallst (number):
if not numbers:
return none
- Smallest = largest = number [0]
for num in numbers:
if num < smallest:
\[
\text { smallest }=\text { num }
\]
if nam > Largest:
\[
\text { Largest }=\text { num }
\]
fietutin smallest, Largest
* Example usage.
\[
\begin{array}{l}
\text { rumbers }=[1,2,3,4,5,6,7,8,9] \\
\text { result }=\text { find_lrgst_smallst (numbers) }
\end{array}
\]
print (result)",172,"
def find_lrgst_smallst(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest

# Example usage.
numbers = [1,2,3,4,5,6,7,8,9] 
result = find_lrgst_smallst(numbers)
print(result)
",20,"
def find_lrgst_smallst(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest

numbers = [1,2,3,4,5,6,7,8,9]
result = find_lrgst_smallst(numbers)
print(result)
",34,"
def find_largest_smallest(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest

# Example usage
numbers = [1,2,3,4,5,6,7,8,9]
result = find_largest_smallest(numbers)
print(result)
",25
"def main():
    user_number = input (""Enter the number: "")
    result = sum_of_digits(user_number)
    print (""The Sum of the Digits is: "", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()","def main():
user number
input (""Enter the number: "")
result = Sum_of_digits (user_number)
print (""The Sum of the digits is"", result)
def Sum_of_digits (user_ number):
W 18
number_str = Str (user_number)
digit_sum = 0
for digit in number str:
#zero
return digit sum
if_name_
main()
digit_sum += int(digit)
_main_"":",111,"def main():
user_number = input (""Enter the number: "")
result = sum_of digits (user_number)
print (""The sum of the digits is"", result)
def sum_of_digits (user_number):
number_st \( r=\operatorname{str} \) (user_number)
digit_sum \( =\varnothing \quad \# \) zero
for digit in numberstr:
\[
\text { digit_sum } t=\operatorname{int} \text { (digit) }
\]
veturn digit_sum
if name_ \( =="" \) main_ \( "" \) :
main()",142,"
def main():
    user_number = input(""Enter the number: "")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is"", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()
",13,"
def main():
    user_number = input(""Enter the number: "")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is"", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()
",13,"
def main():
    user_number = input(""Enter the number: "")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is"", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()
",13
